sub-region,sub-region-code,region-code
Southern Asia,034,142
Northern Europe,154,150
Southern Europe,039,150
Northern Africa,015,002
Polynesia,061,009
Sub-Saharan Africa,202,002
Latin America and the Caribbean,419,019
Western Asia,145,142
Australia and New Zealand,053,009
Western Europe,155,150
Eastern Europe,151,150
Northern America,021,019
South-eastern Asia,035,142
Eastern Asia,030,142
Melanesia,054,009
Micronesia,057,009
Central Asia,143,142
